GIT HISTORY ARCHIVE — branch cleanup/remove-nested-duplicate-tree
Captured: 2026-07-27T08:01:54Z UTC (before squash to clean commit)
Range: origin/main (4c235e9) .. HEAD  —  full local history below
Total commits on branch: 208
========================================================================

### ONE-LINE LOG (newest first) ###

06221e3 2026-07-27 alvinauh  wip: autosave 2026-07-27T07:48:54
7200d3b 2026-07-27 alvinauh  docs: add special-needs accommodations plan + cited research briefing
5ce1381 2026-07-25 alvinauh  wip: autosave 2026-07-25T17:13:02
2350c36 2026-07-25 alvinauh  wip: autosave 2026-07-25T17:08:44
50a82ce 2026-07-25 alvinauh  wip: autosave 2026-07-25T10:35:13
1e79e26 2026-07-24 alvinauh  wip: autosave 2026-07-24T06:05:50
fe68d87 2026-07-24 alvinauh  wip: autosave 2026-07-24T05:21:08
8d14522 2026-07-24 alvinauh  wip: autosave 2026-07-24T04:58:02
13a56cc 2026-07-24 alvinauh  Add English F4/F5 DSKP CEFR PDFs (were gitignored)
309d6e0 2026-07-22 alvinauh  wip: autosave 2026-07-22T11:01:28
53732d3 2026-07-22 alvinauh  wip: autosave 2026-07-22T08:53:22
77e8205 2026-07-22 alvinauh  wip: autosave 2026-07-22T08:49:27
fce10a5 2026-07-21 alvinauh  wip: autosave 2026-07-21T15:30:46
137d633 2026-07-21 alvinauh  wip: autosave 2026-07-21T11:26:23
662ba74 2026-07-21 alvinauh  wip: autosave 2026-07-21T11:22:36
24dc64b 2026-07-21 alvinauh  wip: autosave 2026-07-21T11:13:49
657d153 2026-07-21 alvinauh  wip: autosave 2026-07-21T11:09:51
ee78ed1 2026-07-21 alvinauh  wip: autosave 2026-07-21T08:54:51
06b9940 2026-07-21 alvinauh  wip: autosave 2026-07-21T08:51:44
ffb2fee 2026-07-21 alvinauh  wip: autosave 2026-07-21T06:32:15
8eb8971 2026-07-21 alvinauh  wip: autosave 2026-07-21T06:30:38
f2e7c54 2026-07-21 alvinauh  wip: autosave 2026-07-21T06:22:09
aa8f09a 2026-07-21 alvinauh  wip: autosave 2026-07-21T06:13:30
