subject,topic,language,generated_ok,failed
Additional Mathematics,Coordinate Geometry,Bahasa Melayu,5,0
Additional Mathematics,Coordinate Geometry,English,5,0
Additional Mathematics,Differentiation,Bahasa Melayu,5,0
Additional Mathematics,Differentiation,English,5,0
Additional Mathematics,Functions,Bahasa Melayu,5,0
Additional Mathematics,Functions,English,5,0
Additional Mathematics,Indices and Logarithms,Bahasa Melayu,5,0
Additional Mathematics,Indices and Logarithms,English,5,0
Additional Mathematics,Integration,Bahasa Melayu,5,0
Additional Mathematics,Integration,English,5,0
Additional Mathematics,Linear Law,Bahasa Melayu,5,0
Additional Mathematics,Linear Law,English,3,0
Additional Mathematics,Permutations and Combinations,Bahasa Melayu,5,0
Additional Mathematics,Permutations and Combinations,English,5,0
Additional Mathematics,Probability Distributions,Bahasa Melayu,5,0
Additional Mathematics,Probability Distributions,English,5,0
Additional Mathematics,Progressions,Bahasa Melayu,5,0
Additional Mathematics,Progressions,English,5,0
Additional Mathematics,Quadratic Functions,Bahasa Melayu,5,0
Additional Mathematics,Quadratic Functions,English,5,0
Additional Mathematics,Systems of Equations,Bahasa Melayu,5,0
Additional Mathematics,Systems of Equations,English,5,0
Additional Mathematics,Trigonometric Functions,Bahasa Melayu,5,0
Additional Mathematics,Trigonometric Functions,English,5,0
Additional Mathematics,Vectors,Bahasa Melayu,5,0
Additional Mathematics,Vectors,English,5,0
Bahasa Cina,Kosa Kata,Bahasa Melayu,5,0
Bahasa Cina,Kosa Kata,English,5,0
Bahasa Cina,Kosa Kata Lanjutan,Bahasa Melayu,5,0
Bahasa Cina,Kosa Kata Lanjutan,English,5,0
Bahasa Cina,Membaca Teks,Bahasa Melayu,5,0
Bahasa Cina,Membaca Teks,English,5,0
Bahasa Cina,Mendengar & Bertutur,Bahasa Melayu,5,0
Bahasa Cina,Mendengar & Bertutur,English,5,0
Bahasa Cina,Pemahaman Teks,Bahasa Melayu,5,0
Bahasa Cina,Pemahaman Teks,English,5,0
Bahasa Cina,Pemahaman Teks Lanjutan,Bahasa Melayu,5,0
Bahasa Cina,Pemahaman Teks Lanjutan,English,5,0
Bahasa Cina,Penulisan Karangan,Bahasa Melayu,5,0
Bahasa Cina,Penulisan Karangan,English,5,0
Bahasa Cina,Penulisan Karangan Lanjutan,Bahasa Melayu,5,0
Bahasa Cina,Penulisan Karangan Lanjutan,English,5,0
Bahasa Cina,Sastera Cina,Bahasa Melayu,5,0
Bahasa Cina,Sastera Cina,English,5,0
Bahasa Cina,Tatabahasa Cina,Bahasa Melayu,5,0
Bahasa Cina,Tatabahasa Cina,English,5,0
Bahasa Cina,Tatabahasa Lanjutan,Bahasa Melayu,5,0
Bahasa Cina,Tatabahasa Lanjutan,English,5,0
Bahasa Inggeris,Arts and Culture,Bahasa Melayu,4,0
Bahasa Inggeris,Arts and Culture,English,4,0
Bahasa Inggeris,Consumerism and Financial Awareness,Bahasa Melayu,4,0
